tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1449549309909872641,2934042926,Eloy Enterprise,Sun Oct 17 01:34:21 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),1,"('sport',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('black', 'white')",0,(),0,()
1449522335699046406,2934042926,Eloy Enterprise,Sat Oct 16 23:47:10 +0000 2021,0,(),0,(),0,(),0,(),1,"('festival',)",1,"('festival',)",1,"('festival',)",1,"('forward',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pandemic',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449511563283640325,2934042926,Eloy Enterprise,Sat Oct 16 23:04:21 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449276213575487488,2934042926,Eloy Enterprise,Sat Oct 16 07:29:10 +0000 2021,0,(),0,(),0,(),0,(),1,"('playoff',)",0,(),1,"('game',)",2,"('playoff', 'run')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449177079107444746,2934042926,Eloy Enterprise,Sat Oct 16 00:55:14 +0000 2021,0,(),1,"('thunder',)",0,(),1,"('party',)",1,"('party',)",1,"('party',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449169543079804928,2934042926,Eloy Enterprise,Sat Oct 16 00:25:17 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449155904356687872,2934042926,Eloy Enterprise,Fri Oct 15 23:31:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),1,"('pay',)",0,(),0,(),2,"('covid', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449120682873393155,2934042926,Eloy Enterprise,Fri Oct 15 21:11:08 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",0,(),0,(),0,(),1,"('learn',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('research',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449009684141195266,2934042926,Eloy Enterprise,Fri Oct 15 13:50:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448907353185730561,2934042926,Eloy Enterprise,Fri Oct 15 07:03:27 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),1,"('festival',)",3,"('fashion', 'festival', 'style')",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448779737648795653,2934042926,Eloy Enterprise,Thu Oct 14 22:36:21 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),1,"('wait',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448755272080580612,2934042926,Eloy Enterprise,Thu Oct 14 20:59:08 +0000 2021,1,"('freeway',)",0,(),0,(),1,"('trooper',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448667932779814918,2934042926,Eloy Enterprise,Thu Oct 14 15:12:04 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),1,"('award',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448650592784568331,2934042926,Eloy Enterprise,Thu Oct 14 14:03:10 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",0,(),0,(),3,"('conference', 'football', 'tournament')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('matter',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
